4.930765151977539s 	18506294 photons in 1008640 bins
6.299368858337402s 	18506294 photons in 1008640 bins
         9174210 function calls (9172717 primitive calls) in 11.281 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    137/6    0.000    0.000    0.043    0.007 <frozen importlib._bootstrap>:1002(_find_and_load)
   164/11    0.000    0.000    0.036    0.003 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      137    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      261    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    173/6    0.000    0.000    0.042    0.007 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     1356    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      204    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  112/110    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    112/6    0.000    0.000    0.042    0.007 <frozen importlib._bootstrap>:659(_load_unlocked)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
