         130657 function calls (127146 primitive calls) in 28.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(lstsq)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(outer)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(polyval)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(vander)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(zeros_like)
    270/8    0.001    0.000    0.084    0.010 <frozen importlib._bootstrap>:1002(_find_and_load)
   339/30    0.000    0.000    0.078    0.003 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      694    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      270    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      694    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      424    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    366/8    0.000    0.000    0.083    0.010 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     2620    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      426    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
      646    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      235    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  235/233    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    235/8    0.000    0.000    0.083    0.010 <frozen importlib._bootstrap>:659(_load_unlocked)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      694    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      267    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:901(_find_spec)
    270/8    0.000    0.000    0.083    0.010 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      194    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
